Comment,Designator,Footprint,LCSC
"ATARI-CARTRIDGE","CART1","RetroBitLab:ATARI-LEFT-CARTRIDGE",""
"RED","LD1","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","C965822"
"Conn_01x05","P1,P2,P3,P4,P5,P6","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical",""
"1K","R1","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17513"
